20220102 194700;1.136180;1.136260;1.136180;1.136200;0
20220102 194800;1.136190;1.136200;1.136090;1.136130;0
20220102 194900;1.136140;1.136220;1.136130;1.136170;0
20220102 195000;1.136190;1.136210;1.136120;1.136120;0
20220102 195100;1.136130;1.136320;1.136110;1.136270;0
20220102 195200;1.136260;1.136330;1.136210;1.136220;0
20220102 195300;1.136210;1.136210;1.136140;1.136140;0
20220102 195400;1.136130;1.136310;1.136110;1.136310;0
20220102 195500;1.136330;1.136330;1.136240;1.136260;0
20220102 195600;1.136280;1.136310;1.136250;1.136250;0
20220102 195700;1.136260;1.136260;1.136230;1.136260;0
20220102 195800;1.136250;1.136360;1.136250;1.136270;0
20220102 195900;1.136270;1.136270;1.136180;1.136180;0
20220102 200000;1.136190;1.136190;1.136140;1.136140;0
20220102 200100;1.136150;1.136170;1.136100;1.136160;0
20220102 200200;1.136160;1.136320;1.136160;1.136310;0
20220102 200300;1.136330;1.136350;1.136330;1.136350;0
20220102 200400;1.136340;1.136440;1.136340;1.136440;0
20220102 200500;1.136450;1.136460;1.136340;1.136340;0
20220102 200600;1.136340;1.136380;1.136310;1.136320;0
20220102 200700;1.136310;1.136350;1.136310;1.136330;0
20220102 200800;1.136360;1.136440;1.136360;1.136370;0
20220102 200900;1.136390;1.136450;1.136370;1.136380;0
20220102 201000;1.136390;1.136390;1.136320;1.136370;0
20220102 201100;1.136380;1.136390;1.136380;1.136390;0
20220102 201200;1.136390;1.136390;1.136320;1.136340;0
20220102 201300;1.136360;1.136380;1.136310;1.136310;0
20220102 201400;1.136330;1.136390;1.136280;1.136290;0
20220102 201500;1.136290;1.136290;1.136000;1.136000;0
20220102 201600;1.136010;1.136080;1.135990;1.136080;0
20220102 201700;1.136090;1.136200;1.136080;1.136200;0
20220102 201800;1.136200;1.136290;1.136200;1.136290;0
20220102 201900;1.136290;1.136440;1.136290;1.136440;0
20220102 202000;1.136440;1.136460;1.136360;1.136460;0
20220102 202100;1.136460;1.136500;1.136450;1.136470;0
20220102 202200;1.136460;1.136510;1.136450;1.136490;0
20220102 202300;1.136490;1.136490;1.136450;1.136480;0
20220102 202400;1.136490;1.136510;1.136460;1.136460;0
20220102 202500;1.136480;1.136510;1.136460;1.136460;0
20220102 202600;1.136460;1.136460;1.136330;1.136340;0
20220102 202700;1.136350;1.136400;1.136350;1.136400;0
20220102 202800;1.136400;1.136400;1.136310;1.136310;0
20220102 202900;1.136320;1.136320;1.136130;1.136130;0
20220102 203000;1.136140;1.136160;1.136090;1.136120;0
20220102 203100;1.136130;1.136130;1.136010;1.136010;0
20220102 203200;1.136010;1.136030;1.135940;1.135960;0
20220102 203300;1.135960;1.136080;1.135950;1.136080;0
20220102 203400;1.136080;1.136100;1.136020;1.136030;0
20220102 203500;1.136030;1.136090;1.136030;1.136060;0
20220102 203600;1.136050;1.136050;1.135860;1.135980;0
20220102 203700;1.135960;1.135960;1.135780;1.135780;0
20220102 203800;1.135780;1.135840;1.135740;1.135840;0
20220102 203900;1.135850;1.135900;1.135840;1.135840;0
20220102 204000;1.135840;1.135900;1.135010;1.135330;0
20220102 204100;1.135340;1.135350;1.134980;1.135020;0
20220102 204200;1.135030;1.135420;1.135000;1.135380;0
20220102 204300;1.135410;1.135630;1.135410;1.135610;0
20220102 204400;1.135630;1.135820;1.135630;1.135740;0
20220102 204500;1.135710;1.135710;1.135220;1.135240;0
20220102 204600;1.135230;1.135230;1.135170;1.135190;0
20220102 204700;1.135170;1.135470;1.135170;1.135460;0
20220102 204800;1.135470;1.135640;1.135470;1.135620;0
20220102 204900;1.135630;1.135650;1.135480;1.135490;0
20220102 205000;1.135500;1.135660;1.135470;1.135660;0
20220102 205100;1.135650;1.135670;1.135600;1.135660;0
20220102 205200;1.135670;1.135770;1.135650;1.135750;0
20220102 205300;1.135750;1.135780;1.135750;1.135770;0
20220102 205400;1.135770;1.135820;1.135710;1.135820;0
20220102 205500;1.135830;1.135960;1.135820;1.135950;0
20220102 205600;1.135960;1.135970;1.135950;1.135950;0
20220102 205700;1.135950;1.135980;1.135890;1.135980;0
20220102 205800;1.135990;1.135990;1.135740;1.135740;0
20220102 205900;1.135740;1.135840;1.135710;1.135840;0
20220102 210000;1.135840;1.135850;1.135680;1.135690;0
20220102 210100;1.135690;1.135690;1.135600;1.135620;0
20220102 210200;1.135630;1.135650;1.135600;1.135630;0
20220102 210300;1.135640;1.135640;1.135520;1.135590;0
20220102 210400;1.135570;1.135570;1.135520;1.135540;0
20220102 210500;1.135540;1.135540;1.135430;1.135440;0
20220102 210600;1.135450;1.135460;1.135210;1.135250;0
20220102 210700;1.135260;1.135290;1.135190;1.135190;0
20220102 210800;1.135200;1.135200;1.134980;1.135000;0
20220102 210900;1.135010;1.135050;1.134880;1.134890;0
20220102 211000;1.134880;1.135080;1.134870;1.135060;0
20220102 211100;1.135050;1.135090;1.135030;1.135070;0
20220102 211200;1.135040;1.135040;1.134900;1.135030;0
20220102 211300;1.135020;1.135030;1.134930;1.134980;0
20220102 211400;1.134970;1.135060;1.134950;1.134960;0
20220102 211500;1.134910;1.134920;1.134910;1.134920;0
20220102 211600;1.134910;1.135020;1.134910;1.134980;0
20220102 211700;1.134980;1.134980;1.134970;1.134980;0
20220102 211800;1.134980;1.135090;1.134980;1.135090;0
20220102 211900;1.135080;1.135080;1.135030;1.135050;0
20220102 212000;1.135050;1.135080;1.134960;1.134960;0
20220102 212100;1.134950;1.134960;1.134830;1.134960;0
20220102 212200;1.134940;1.134970;1.134930;1.134970;0
20220102 212300;1.135000;1.135020;1.134890;1.134980;0
20220102 212400;1.134970;1.134970;1.134830;1.134840;0
20220102 212500;1.134860;1.134860;1.134800;1.134860;0
20220102 212600;1.134840;1.134960;1.134830;1.134950;0
20220102 212700;1.134950;1.134950;1.134850;1.134950;0
20220102 212800;1.134950;1.134970;1.134930;1.134960;0
20220102 212900;1.134950;1.134980;1.134930;1.134940;0
20220102 213000;1.134910;1.134960;1.134910;1.134960;0
20220102 213100;1.134960;1.134960;1.134930;1.134950;0
20220102 213200;1.134940;1.134950;1.134940;1.134940;0
20220102 213300;1.134930;1.134960;1.134930;1.134930;0
20220102 213400;1.134950;1.134950;1.134920;1.134930;0
20220102 213500;1.134950;1.134950;1.134920;1.134930;0
20220102 213600;1.134920;1.134930;1.134920;1.134930;0
20220102 213700;1.134930;1.134930;1.134770;1.134790;0
20220102 213800;1.134770;1.134770;1.134670;1.134700;0
20220102 213900;1.134680;1.134680;1.134460;1.134490;0
20220102 214000;1.134480;1.134550;1.134480;1.134550;0
20220102 214100;1.134560;1.134700;1.134560;1.134700;0
20220102 214200;1.134730;1.134890;1.134730;1.134890;0
20220102 214300;1.134880;1.134880;1.134830;1.134840;0
20220102 214400;1.134860;1.134890;1.134860;1.134890;0
20220102 214500;1.134860;1.134910;1.134800;1.134860;0
20220102 214600;1.134850;1.134870;1.134770;1.134780;0
20220102 214700;1.134770;1.134770;1.134590;1.134590;0
20220102 214800;1.134600;1.134740;1.134600;1.134730;0
20220102 214900;1.134720;1.134720;1.134590;1.134590;0
20220102 215000;1.134560;1.134600;1.134510;1.134580;0
20220102 215100;1.134590;1.134590;1.134500;1.134510;0
20220102 215200;1.134500;1.134570;1.134500;1.134560;0
20220102 215300;1.134550;1.134580;1.134510;1.134510;0
20220102 215400;1.134480;1.134480;1.134400;1.134400;0
20220102 215500;1.134400;1.134440;1.134380;1.134380;0
20220102 215600;1.134400;1.134440;1.134380;1.134390;0
20220102 215700;1.134380;1.134380;1.134290;1.134300;0
20220102 215800;1.134290;1.134290;1.134230;1.134240;0
20220102 215900;1.134230;1.134250;1.134230;1.134250;0
20220102 220000;1.134280;1.134340;1.134240;1.134240;0
20220102 220100;1.134230;1.134260;1.134230;1.134240;0
20220102 220200;1.134230;1.134300;1.134230;1.134290;0
20220102 220300;1.134310;1.134310;1.134290;1.134300;0
20220102 220400;1.134310;1.134400;1.134310;1.134390;0
20220102 220500;1.134380;1.134420;1.134340;1.134420;0
20220102 220600;1.134420;1.134610;1.134420;1.134610;0
20220102 220700;1.134610;1.134670;1.134590;1.134650;0
20220102 220800;1.134630;1.134640;1.134610;1.134620;0
20220102 220900;1.134610;1.134610;1.134520;1.134540;0
20220102 221000;1.134520;1.134520;1.134410;1.134420;0
20220102 221100;1.134420;1.134430;1.134310;1.134320;0
20220102 221200;1.134300;1.134380;1.134300;1.134370;0
20220102 221300;1.134380;1.134390;1.134370;1.134390;0
20220102 221400;1.134390;1.134400;1.134380;1.134400;0
20220102 221500;1.134390;1.134410;1.134210;1.134210;0
20220102 221600;1.134230;1.134300;1.134230;1.134300;0
20220102 221700;1.134310;1.134320;1.134310;1.134320;0
20220102 221800;1.134310;1.134310;1.134250;1.134250;0
20220102 221900;1.134260;1.134310;1.134260;1.134290;0
20220102 222000;1.134300;1.134300;1.134250;1.134290;0
20220102 222100;1.134310;1.134310;1.134260;1.134310;0
20220102 222200;1.134270;1.134270;1.134270;1.134270;0
20220102 222300;1.134270;1.134290;1.134260;1.134290;0
20220102 222400;1.134310;1.134340;1.134310;1.134340;0
20220102 222500;1.134340;1.134380;1.134330;1.134370;0
20220102 222600;1.134350;1.134360;1.134350;1.134360;0
20220102 222700;1.134350;1.134370;1.134350;1.134370;0
20220102 222800;1.134350;1.134350;1.134350;1.134350;0
20220102 222900;1.134370;1.134400;1.134360;1.134380;0
20220102 223000;1.134390;1.134500;1.134360;1.134500;0
20220102 223100;1.134510;1.134510;1.134460;1.134470;0
20220102 223200;1.134470;1.134470;1.134380;1.134390;0
20220102 223300;1.134410;1.134410;1.134320;1.134320;0
20220102 223400;1.134320;1.134320;1.134320;1.134320;0
20220102 223500;1.134320;1.134320;1.134120;1.134120;0
20220102 223600;1.134160;1.134210;1.134150;1.134190;0
20220102 223700;1.134180;1.134220;1.134170;1.134220;0
20220102 223800;1.134210;1.134270;1.134210;1.134260;0
20220102 223900;1.134260;1.134260;1.134250;1.134260;0
20220102 224000;1.134270;1.134420;1.134270;1.134410;0
20220102 224100;1.134420;1.134510;1.134420;1.134500;0
20220102 224200;1.134500;1.134570;1.134470;1.134560;0
20220102 224300;1.134550;1.134600;1.134550;1.134550;0
20220102 224400;1.134570;1.134640;1.134570;1.134630;0
20220102 224500;1.134620;1.134660;1.134560;1.134660;0
20220102 224600;1.134660;1.134710;1.134650;1.134670;0
20220102 224700;1.134680;1.134810;1.134680;1.134810;0
20220102 224800;1.134800;1.134820;1.134780;1.134820;0
20220102 224900;1.134810;1.134910;1.134810;1.134910;0
20220102 225000;1.134910;1.134980;1.134910;1.134970;0
20220102 225100;1.134980;1.134980;1.134960;1.134960;0
20220102 225200;1.134960;1.135000;1.134920;1.134960;0
20220102 225300;1.134960;1.134980;1.134950;1.134960;0
20220102 225400;1.134960;1.134960;1.134910;1.134910;0
20220102 225500;1.134910;1.134910;1.134780;1.134780;0
20220102 225600;1.134760;1.134830;1.134710;1.134830;0
20220102 225700;1.134840;1.134920;1.134840;1.134870;0
20220102 225800;1.134860;1.134900;1.134860;1.134860;0
20220102 225900;1.134850;1.134850;1.134800;1.134810;0
20220102 230000;1.134820;1.134820;1.134790;1.134800;0
20220102 230100;1.134790;1.134800;1.134300;1.134420;0
20220102 230200;1.134400;1.134430;1.134390;1.134430;0
20220102 230300;1.134410;1.134410;1.134400;1.134400;0
20220102 230400;1.134400;1.134540;1.134400;1.134540;0
20220102 230500;1.134560;1.134600;1.134560;1.134600;0
20220102 230600;1.134610;1.134640;1.134600;1.134610;0
20220102 230700;1.134630;1.134650;1.134600;1.134600;0
20220102 230800;1.134610;1.134650;1.134600;1.134610;0
20220102 230900;1.134620;1.134650;1.134620;1.134650;0
20220102 231000;1.134640;1.134640;1.134590;1.134610;0
20220102 231200;1.134640;1.134640;1.134600;1.134600;0
20220102 231300;1.134590;1.134650;1.134560;1.134650;0
20220102 231400;1.134660;1.134660;1.134640;1.134640;0
20220102 231500;1.134620;1.134620;1.134570;1.134610;0
20220102 231600;1.134590;1.134590;1.134570;1.134570;0
20220102 231700;1.134580;1.134590;1.134580;1.134580;0
20220102 231800;1.134600;1.134750;1.134600;1.134720;0
20220102 231900;1.134720;1.134720;1.134720;1.134720;0
20220102 232000;1.134720;1.134740;1.134720;1.134730;0
20220102 232100;1.134720;1.134720;1.134720;1.134720;0
20220102 232200;1.134710;1.134710;1.134650;1.134650;0
20220102 232300;1.134630;1.134630;1.134600;1.134600;0
20220102 232400;1.134600;1.134610;1.134600;1.134610;0
20220102 232500;1.134600;1.134700;1.134560;1.134700;0
20220102 232600;1.134700;1.134850;1.134690;1.134820;0
20220102 232700;1.134820;1.134890;1.134800;1.134800;0
20220102 232800;1.134830;1.134830;1.134820;1.134820;0
20220102 232900;1.134830;1.134840;1.134830;1.134840;0
20220102 233000;1.134810;1.134810;1.134750;1.134750;0
20220102 233100;1.134750;1.134750;1.134740;1.134740;0
20220102 233200;1.134750;1.134750;1.134750;1.134750;0
20220102 233300;1.134750;1.134750;1.134750;1.134750;0
20220102 233400;1.134740;1.134740;1.134680;1.134690;0
20220102 233500;1.134700;1.134720;1.134700;1.134720;0
20220102 233600;1.134710;1.134710;1.134690;1.134690;0
20220102 233700;1.134700;1.134700;1.134690;1.134690;0
20220102 233800;1.134700;1.134700;1.134700;1.134700;0
20220102 234000;1.134710;1.134710;1.134700;1.134700;0
20220102 234100;1.134690;1.134710;1.134690;1.134710;0
20220102 234200;1.134700;1.134770;1.134700;1.134760;0
20220102 234300;1.134740;1.134740;1.134630;1.134630;0
20220102 234500;1.134630;1.134640;1.134630;1.134640;0
20220102 234600;1.134640;1.134640;1.134390;1.134390;0
